통계표ID,통계표명,지역,cleaning1,cleaning2,연령대,cleaning3,cleaning4,구분,대상
DT_1BA0511,성/연령/혼인상태/종사상의 지위별 취업자(15세이상)-시도,,성/연령/혼인상태/종사상의 지위별 취업자(15세이상)-시도,성/연령/혼인상태/종사상의 지위별 취업자(15세이상)-시도,15세이상,성/연령/혼인상태/종사상의 지위별 취업자-시도,성/연령/혼인상태/종사상의 지위별 취업자-시도,"성별, 연령별, 혼인상태별, 종사상지위별, 시도별",취업자
DT_1BA0512,성/종사상의 지위/근로장소별 취업자(15세이상)-시도,,성/종사상의 지위/근로장소별 취업자(15세이상)-시도,성/종사상의 지위/근로장소별 취업자(15세이상)-시도,15세이상,성/종사상의 지위/근로장소별 취업자-시도,성/종사상의 지위/근로장소별 취업자-시도,"취업자별, 시도별",취업자
DT_1BA0513,성/연령/근로장소별 취업자(15세이상)-시도,,성/연령/근로장소별 취업자(15세이상)-시도,성/연령/근로장소별 취업자(15세이상)-시도,15세이상,성/연령/근로장소별 취업자-시도,성/연령/근로장소별 취업자-시도,"성별, 연령별, 근로장소별, 시도별",취업자
DT_1BA0514,성/교육정도/근로장소별 취업자(15세이상)-시도,,성/교육정도/근로장소별 취업자(15세이상)-시도,성/교육정도/근로장소별 취업자(15세이상)-시도,15세이상,성/교육정도/근로장소별 취업자-시도,성/교육정도/근로장소별 취업자-시도,"성별, 교육정도별, 근로장소별, 시도별",취업자
DT_1BA0515,세대구성/경제활동상태별 여성인구(15세이상)-시도,,세대구성/경제활동상태별 여성인구(15세이상)-시도,세대구성/경제활동상태별 여성인구(15세이상)-시도,15세이상,세대구성/경제활동상태별 여성인구-시도,세대구성/경제활동상태별 여성인구-시도,"세대구성별, 경제활동상태별, 시도별",여성인구
DT_1BA0516,가구원수/취업자수별 가구(일반가구)-시도,,가구원수/취업자수별 가구(일반가구)-시도,가구원수/취업자수별 가구(일반가구)-시도,,가구원수/취업자수별 가구(일반가구)-시도,가구원수/취업자수별 가구(일반가구)-시도,"가구원수별, 취업자수별, 가구유형별, 시도별","가구원수, 취업자수, 가구"
DT_1BA0517,가구주 부부의 경제활동상태/산업별 가구(일반가구)-시도,,가구주 부부의 경제활동상태/산업별 가구(일반가구)-시도,가구주 부부의 경제활동상태/산업별 가구(일반가구)-시도,,가구주 부부의 경제활동상태/산업별 가구(일반가구)-시도,가구주 부부의 경제활동상태/산업별 가구(일반가구)-시도,"산업별, 행정구역별","가구주 부부, 일반가구"
DT_1BA0518,가구주 부부의 경제활동상태/직업별 가구(일반가구)-시도,,가구주 부부의 경제활동상태/직업별 가구(일반가구)-시도,가구주 부부의 경제활동상태/직업별 가구(일반가구)-시도,,가구주 부부의 경제활동상태/직업별 가구(일반가구)-시도,가구주 부부의 경제활동상태/직업별 가구(일반가구)-시도,"경제활동상태별, 직업별, 가구유형별, 행정구역별","경제활동상태, 직업, 가구"
DT_1BA0519,거처의 종류/가구주의 종사상의 지위(일반가구)-시도,,거처의 종류/가구주의 종사상의 지위(일반가구)-시도,거처의 종류/가구주의 종사상의 지위(일반가구)-시도,,거처의 종류/가구주의 종사상의 지위(일반가구)-시도,거처의 종류/가구주의 종사상의 지위(일반가구)-시도,"거처종류별, 가구주종사상지위별, 시도별","거처종류, 일반가구"
DT_1BA0520,성/연령/경제활동상태별 인구(15세이상)-시도,,성/연령/경제활동상태별 인구(15세이상)-시도,성/연령/경제활동상태별 인구(15세이상)-시도,15세이상,성/연령/경제활동상태별 인구-시도,성/연령/경제활동상태별 인구-시도,"성별, 연령별, 경제활동상태별, 시도별",인구
DT_1BA9501,시도/성/연령/경제활동상태별 인구(15세이상),,시도/성/연령/경제활동상태별 인구(15세이상),시도/성/연령/경제활동상태별 인구(15세이상),15세이상,시도/성/연령/경제활동상태별 인구,시도/성/연령/경제활동상태별 인구,"시도별, 성별, 연령별, 경제활동상태별",인구
DT_1BA9502,시도/성/연령/종사상 지위별 취업자(15세이상),,시도/성/연령/종사상 지위별 취업자(15세이상),시도/성/연령/종사상 지위별 취업자(15세이상),15세이상,시도/성/연령/종사상 지위별 취업자,시도/성/연령/종사상 지위별 취업자,"시도별, 성별, 연령별, 종사상지위별",취업자
DT_1BA9503,시도/성/취업상태/산업별 취업자(15세이상),,시도/성/취업상태/산업별 취업자(15세이상),시도/성/취업상태/산업별 취업자(15세이상),15세이상,시도/성/취업상태/산업별 취업자,시도/성/취업상태/산업별 취업자,"시도별, 성별, 취업상태별, 산업별",취업자
DT_1BA9504,시도/성/취업상태/직업별 취업자(15세이상),,시도/성/취업상태/직업별 취업자(15세이상),시도/성/취업상태/직업별 취업자(15세이상),15세이상,시도/성/취업상태/직업별 취업자,시도/성/취업상태/직업별 취업자,"행정구역별, 성별, 취업상태별, 직업별",취업자
DT_1BA9505,시도/성/취업상태/종사상의 지위별 취업자(15세이상),,시도/성/취업상태/종사상의 지위별 취업자(15세이상),시도/성/취업상태/종사상의 지위별 취업자(15세이상),15세이상,시도/성/취업상태/종사상의 지위별 취업자,시도/성/취업상태/종사상의 지위별 취업자,"행정구역별, 성별, 취업상태별, 종사상의지위별",취업자
DT_1BA9506,시도/성/직업/산업별 취업자(15세 이상),,시도/성/직업/산업별 취업자(15세 이상),시도/성/직업/산업별 취업자(15세 이상),15세 이상,시도/성/직업/산업별 취업자,시도/성/직업/산업별 취업자,"시도별, 성별, 직업별, 산업별",취업자
DT_1BA9507,시도/성/연령/산업별 취업자(15세이상),,시도/성/연령/산업별 취업자(15세이상),시도/성/연령/산업별 취업자(15세이상),15세이상,시도/성/연령/산업별 취업자,시도/성/연령/산업별 취업자,"시도별, 성별, 연령별, 산업별",취업자
DT_1BA9508,시도/성/연령/직업별 취업자(15세이상),,시도/성/연령/직업별 취업자(15세이상),시도/성/연령/직업별 취업자(15세이상),15세이상,시도/성/연령/직업별 취업자,시도/성/연령/직업별 취업자,"시도별, 성별, 연령별, 직업별",취업자
DT_1BA9509,"시도/성/연령,혼인상태/경제활동상태별 인구(15세 이상)",,"시도/성/연령,혼인상태/경제활동상태별 인구(15세 이상)","시도/성/연령,혼인상태/경제활동상태별 인구(15세 이상)",15세 이상,"시도/성/연령,혼인상태/경제활동상태별 인구","시도/성/연령,혼인상태/경제활동상태별 인구","행정구역별, 성별, 연령별, 혼인상태별, 경제활동상태별",인구
DT_1BA9510,"시도/성/연령,혼인상태/종사상의 지위별 취업자(15세 이상)",,"시도/성/연령,혼인상태/종사상의 지위별 취업자(15세 이상)","시도/성/연령,혼인상태/종사상의 지위별 취업자(15세 이상)",15세 이상,"시도/성/연령,혼인상태/종사상의 지위별 취업자","시도/성/연령,혼인상태/종사상의 지위별 취업자","행정구역별, 성별, 연령 및 혼인상태별, 종사상지위별",취업자
DT_1BA9511,"시도/성/연령,혼인상태/산업별 취업자(15세이상)",,"시도/성/연령,혼인상태/산업별 취업자(15세이상)","시도/성/연령,혼인상태/산업별 취업자(15세이상)",15세이상,"시도/성/연령,혼인상태/산업별 취업자","시도/성/연령,혼인상태/산업별 취업자","행정구역별, 성별, 연령 및 혼인상태별, 산업별",취업자
DT_1BA9512,"시도/성/연령,혼인상태/직업별 취업자(15세이상)",,"시도/성/연령,혼인상태/직업별 취업자(15세이상)","시도/성/연령,혼인상태/직업별 취업자(15세이상)",15세이상,"시도/성/연령,혼인상태/직업별 취업자","시도/성/연령,혼인상태/직업별 취업자","행정구역별, 성별, 연령 및 혼인상태별, 직업별",취업자
DT_1BA9513,시도/성/교육정도/경제활동상태별 인구(15세이상),,시도/성/교육정도/경제활동상태별 인구(15세이상),시도/성/교육정도/경제활동상태별 인구(15세이상),15세이상,시도/성/교육정도/경제활동상태별 인구,시도/성/교육정도/경제활동상태별 인구,"시도별, 성별, 교육정도별, 경제활동상태별",인구
DT_1BA9514,시도/성/교육정도/종사상의 지위별 취업자(15세이상),,시도/성/교육정도/종사상의 지위별 취업자(15세이상),시도/성/교육정도/종사상의 지위별 취업자(15세이상),15세이상,시도/성/교육정도/종사상의 지위별 취업자,시도/성/교육정도/종사상의 지위별 취업자,"시도별, 성별, 교육정도별, 종사상의지위별",취업자
DT_1BA9515,시도/성/교육정도/산업별 취업자(15세이상),,시도/성/교육정도/산업별 취업자(15세이상),시도/성/교육정도/산업별 취업자(15세이상),15세이상,시도/성/교육정도/산업별 취업자,시도/성/교육정도/산업별 취업자,"행정구역별, 성별, 교육정도별, 산업별",취업자
DT_1BA9516,시도/성/교육정도/직업별 취업자(15세이상),,시도/성/교육정도/직업별 취업자(15세이상),시도/성/교육정도/직업별 취업자(15세이상),15세이상,시도/성/교육정도/직업별 취업자,시도/성/교육정도/직업별 취업자,"시도별, 성별, 교육정도별, 직업별",취업자
DT_1BA9517,시도/거처의 종류/가구의 규모/취업자수별 가구(일반가구),,시도/거처의 종류/가구의 규모/취업자수별 가구(일반가구),시도/거처의 종류/가구의 규모/취업자수별 가구(일반가구),,시도/거처의 종류/가구의 규모/취업자수별 가구(일반가구),시도/거처의 종류/가구의 규모/취업자수별 가구(일반가구),"시도별, 거처의 종류별, 가구의 규모별, 취업자수별","가구, 취업자수"
DT_1BA9518,시도/가구주의 성/경제활동상태/가구의 규모별 가구(일반가구),,시도/가구주의 성/경제활동상태/가구의 규모별 가구(일반가구),시도/가구주의 성/경제활동상태/가구의 규모별 가구(일반가구),,시도/가구주의 성/경제활동상태/가구의 규모별 가구(일반가구),시도/가구주의 성/경제활동상태/가구의 규모별 가구(일반가구),"시도별, 가구주성별, 경제활동상태별, 가구의규모별",가구
DT_1BA9519,시도/가구주의 성/종사상의 지위/거처의 종류별 가구(일반가구),,시도/가구주의 성/종사상의 지위/거처의 종류별 가구(일반가구),시도/가구주의 성/종사상의 지위/거처의 종류별 가구(일반가구),,시도/가구주의 성/종사상의 지위/거처의 종류별 가구(일반가구),시도/가구주의 성/종사상의 지위/거처의 종류별 가구(일반가구),"시도별, 가구주의성별, 종사상의지위별, 거처의종류별",가구
DT_1BA9520,시도/세대구성/가구주의 직업별 가구(일반가구),,시도/세대구성/가구주의 직업별 가구(일반가구),시도/세대구성/가구주의 직업별 가구(일반가구),,시도/세대구성/가구주의 직업별 가구(일반가구),시도/세대구성/가구주의 직업별 가구(일반가구),"시도별, 세대구성별, 가구주의 직업별",가구
